series,obs,start,end,ready_190,ready_220,ready_252
KOSPI200,661,2024-01-02,2026-09-23,True,True,True
semiconductor,661,2024-01-02,2026-09-23,True,True,True
auto,661,2024-01-02,2026-09-23,True,True,True
battery,661,2024-01-02,2026-09-23,True,True,True
bio_health,661,2024-01-02,2026-09-23,True,True,True
financial,661,2024-01-02,2026-09-23,True,True,True
shipbuilding,661,2024-01-02,2026-09-23,True,True,True
steel_materials,661,2024-01-02,2026-09-23,True,True,True
consumer,661,2024-01-02,2026-09-23,True,True,True
media_platform,661,2024-01-02,2026-09-23,True,True,True
construction,661,2024-01-02,2026-09-23,True,True,True
biosimilar_cdmo,424,2024-12-24,2026-09-23,True,True,True
k_beauty,578,2024-05-07,2026-09-23,True,True,True
k_food,661,2024-01-02,2026-09-23,True,True,True
TIP,685,2024-01-02,2026-09-24,True,True,True
