obs_date,sector,company,metric,value,unit,lookback,source,is_proxy,loaded_at,notes
2026-07-30,시장전체,,MSCI_KOREA_12MF_EPS_GROWTH,78.1,pct,weekly,Hanwha EPS LIVE #222,1,2026-09-05T12:35:00+09:00,direct public summary; industrials/energy/financials upward sectors
2026-08-06,시장전체,,MSCI_KOREA_12MF_EPS_GROWTH,77.9,pct,weekly,Hanwha EPS LIVE #223,0,2026-09-05T12:35:00+09:00,direct public report; semiconductor/DM IT upward concentration
2026-08-13,시장전체,,MSCI_KOREA_12MF_EPS_GROWTH,77.1,pct,weekly,Hanwha EPS LIVE #224,1,2026-09-05T12:35:00+09:00,derived from #225 disclosure; down 10.5pp WoW
2026-08-20,시장전체,,MSCI_KOREA_12MF_EPS_GROWTH,66.6,pct,weekly,Hanwha EPS LIVE #225,0,2026-09-05T12:35:00+09:00,direct public summary; semiconductor components upward
2026-08-27,시장전체,,MSCI_KOREA_12MF_EPS_GROWTH,66,pct,weekly,Hanwha EPS LIVE #226,0,2026-09-05T12:35:00+09:00,direct public summary; cosmetics/food strength highlighted
2026-09-03,시장전체,,MSCI_KOREA_12MF_EPS_GROWTH,65.8,pct,weekly,Hanwha EPS LIVE #227,0,2026-09-05T12:35:00+09:00,direct public summary; Kia upward Hyundai pressure
2026-05-28,반도체/IT,,sector_revision_direction,1,direction_score,weekly,Hanwha EPS LIVE #213,1,2026-09-05T13:05:00+09:00,Samsung Electronics +1.1%; SK Hynix +0.4% weekly operating-profit estimates
2026-06-18,반도체/IT,,sector_revision_direction,1,direction_score,weekly,Hanwha EPS LIVE #216,1,2026-09-05T13:05:00+09:00,SK Hynix and Samsung Electronics entered EM EPS upgrade leaders
2026-08-06,반도체/IT,,sector_revision_direction,1,direction_score,weekly,Hanwha EPS LIVE #223,1,2026-09-05T12:35:00+09:00,semiconductor/IT upward concentration
2026-08-20,반도체/IT,,sector_revision_direction,1,direction_score,weekly,Hanwha EPS LIVE #225,1,2026-09-05T12:35:00+09:00,semiconductor materials/equipment upward
2026-05-28,자동차,,sector_revision_direction,1,direction_score,weekly,Hanwha EPS LIVE #213,1,2026-09-05T13:05:00+09:00,Kia +0.1%; Hyundai +0.1% weekly operating-profit estimates
2026-06-18,자동차,,sector_revision_direction,-1,direction_score,weekly,Hanwha EPS LIVE #216,1,2026-09-05T13:05:00+09:00,Kia entered EM EPS downgrade leaders
2026-08-20,자동차,,sector_revision_direction,0,direction_score,weekly,Hanwha EPS LIVE #225,1,2026-09-05T12:35:00+09:00,Kia breakout but aggregate mixed
