obs_date,sector,subsector,indicator,indicator_role,frequency,value,unit,direction,acceleration,source,source_type,is_proxy,confidence,loaded_at,notes
2026-02-28,2차전지,,글로벌 EV 배터리 사용량(비중국 누적),leading,monthly,65.3,GWh,,,SNE Research public summary,public/official,False,high,2026-09-05T11:30:00+09:00,Jan-Feb cumulative; +12.1% YoY
2026-03-31,2차전지,,글로벌 EV 배터리 사용량(비중국 누적),leading,monthly,117.4,GWh,,,SNE Research public summary,public/official,False,high,2026-09-05T11:30:00+09:00,Jan-Mar cumulative; +17.4% YoY
2026-04-30,2차전지,,글로벌 EV 배터리 사용량(비중국 누적),leading,monthly,162.7,GWh,,,SNE Research public summary,public/official,False,high,2026-09-05T11:30:00+09:00,Jan-Apr cumulative; +21.0% YoY
2026-06-30,2차전지,,글로벌 EV 배터리 사용량(비중국 누적),leading,monthly,269,GWh,,,SNE Research public summary,public/official,False,high,2026-09-05T11:30:00+09:00,Jan-Jun cumulative; +26.3% YoY
2022-12-31,2차전지,,LG에너지솔루션 생산설비 평균 가동률,leading,semiannual,73.6,%,,,LG Energy Solution business/half-year reports,public/official,False,high,2026-09-05T11:30:00+09:00,
2023-12-31,2차전지,,LG에너지솔루션 생산설비 평균 가동률,leading,semiannual,69.3,%,,,LG Energy Solution business/half-year reports,public/official,False,high,2026-09-05T11:30:00+09:00,
2024-12-31,2차전지,,LG에너지솔루션 생산설비 평균 가동률,leading,semiannual,57.8,%,,,LG Energy Solution business/half-year reports,public/official,False,high,2026-09-05T11:30:00+09:00,
2025-12-31,2차전지,,LG에너지솔루션 생산설비 평균 가동률,leading,semiannual,47.6,%,,,LG Energy Solution business/half-year reports,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-06-30,2차전지,,LG에너지솔루션 생산설비 평균 가동률,leading,semiannual,52.8,%,,,LG Energy Solution business/half-year reports,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-03-31,2차전지,,EV 파우치 삼원계 셀 시장가격,leading,monthly,0.59,RMB/Wh,,,TrendForce Li-Ion Battery Price Trends,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-03-31,2차전지,,EV 각형 삼원계 셀 시장가격,leading,monthly,0.58,RMB/Wh,,,TrendForce Li-Ion Battery Price Trends,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-03-31,2차전지,,EV 각형 LFP 셀 시장가격,leading,monthly,0.38,RMB/Wh,,,TrendForce Li-Ion Battery Price Trends,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-08-07,2차전지,,EV 파우치 삼원계 셀 시장가격,leading,monthly,0.61,RMB/Wh,,,TrendForce Li-Ion Battery Price Trends,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-08-07,2차전지,,EV 각형 삼원계 셀 시장가격,leading,monthly,0.6,RMB/Wh,,,TrendForce Li-Ion Battery Price Trends,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-08-07,2차전지,,EV 각형 LFP 셀 시장가격,leading,monthly,0.39,RMB/Wh,,,TrendForce Li-Ion Battery Price Trends,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-06-30,2차전지,,미국 신차 EV days supply,leading,monthly,81,days,,,Cox Automotive EV Market Monitor,public proxy,True,medium,2026-09-05T11:30:00+09:00,
2026-07-31,2차전지,,미국 신차 EV days supply,leading,monthly,80,days,,,Cox Automotive EV Market Monitor,public proxy,True,medium,2026-09-05T11:30:00+09:00,
2026-07-31,2차전지,,현대 EV days supply,leading,monthly,52,days,,,Cox Automotive EV Market Monitor,public proxy,True,medium,2026-09-05T11:30:00+09:00,
2026-07-31,바이오·헬스케어,,Steqeyma 미국 시장점유율,leading,monthly,16.2,%,,,Celltrion official newsroom (IQVIA-cited),public proxy,True,medium,2026-09-05T11:30:00+09:00,Company-disclosed IQVIA-derived share
2026-07-31,바이오·헬스케어,,Yuflyma 미국 시장점유율,leading,monthly,9.4,%,,,Celltrion official newsroom (IQVIA-cited),public proxy,True,medium,2026-09-05T11:30:00+09:00,Company-disclosed IQVIA-derived share
2026-07-31,바이오·헬스케어,,Truxima 미국 시장점유율,leading,monthly,38.6,%,,,Celltrion official newsroom (IQVIA-cited),public proxy,True,medium,2026-09-05T11:30:00+09:00,Company-disclosed IQVIA-derived share
2026-07-31,바이오·헬스케어,,Inflectra 미국 시장점유율,leading,monthly,30.7,%,,,Celltrion official newsroom (IQVIA-cited),public proxy,True,medium,2026-09-05T11:30:00+09:00,Company-disclosed IQVIA-derived share
2026-02-28,바이오·헬스케어,,Hadlima 미국 adalimumab volume share,leading,quarterly,7,%,,,Samsung Bioepis US Biosimilar Market Report Q2 2026,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-03-31,금융,,KB은행 NIM,leading,quarterly,1.74,%,,,KB Financial Group quarterly IR,public/official,False,high,2026-09-05T11:30:00+09:00,-3bp QoQ
2026-06-30,금융,,신한은행 NIM QoQ change,leading,quarterly,1,bp,,,Shinhan Financial Group Q2 2026 IR,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-06-30,금융,,신한 원화대출 QoQ growth,leading,quarterly,0.4,%,,,Shinhan Financial Group Q2 2026 IR,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-03-31,금융,,KB 대출 QoQ growth,leading,quarterly,1.6,%,,,KB Financial Group quarterly IR,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-03-31,금융,,KB credit cost,leading,quarterly,38,bp,,,KB Financial Group quarterly IR,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-06-30,금융,,신한 credit cost,leading,quarterly,42,bp,,,Shinhan Financial Group Q2 2026 IR,public/official,False,high,2026-09-05T11:30:00+09:00,
2026-08-31,조선·기계,,Clarksons 신조선가지수,leading,monthly,186.34,index,,,Clarksons cited public monthly reports,public proxy,True,medium,2026-09-05T11:30:00+09:00,
2026-08-31,조선·기계,,글로벌 신규수주,leading,monthly,4.2,million CGT,,,Clarksons cited public monthly reports,public proxy,True,medium,2026-09-05T11:30:00+09:00,125 vessels
2026-08-31,조선·기계,,글로벌 수주잔량,leading,monthly,216.43,million CGT,,,Clarksons cited public monthly reports,public proxy,True,medium,2026-09-05T11:30:00+09:00,
2026-03-31,조선·기계,,삼성중공업 총 수주잔고,leading,quarterly,29.9,USD bn,,,Samsung Heavy Industries Q1 IR,public/official,False,high,2026-09-05T11:30:00+09:00,
