obs_date,sector,subsector,indicator,indicator_role,frequency,value,unit,direction,acceleration,source,source_type,is_proxy,confidence,loaded_at,notes
2025-05-31,바이오·헬스케어,CDMO,연 누적 신규수주,leading,event,3.0,KRW tn,,,Samsung Biologics official company news,official lower-bound proxy,True,medium,2026-09-06T05:25:00+09:00,Official disclosure said annual cumulative orders surpassed KRW 3tn by May 26 2025; stored as conservative lower bound 3.0
2025-06-30,바이오·헬스케어,CDMO,연 누적 신규수주,leading,quarterly,3.355,KRW tn,,,Samsung Biologics official company news,official,False,high,2026-09-06T05:25:00+09:00,Official June 2025 cumulative annual order value KRW 3.355tn
2025-11-04,바이오·헬스케어,CDMO,연 누적 신규수주,leading,event,5.5193,KRW tn,,,Samsung Biologics official company news,official,False,high,2026-09-06T05:25:00+09:00,Official cumulative annual order value KRW 5.5193tn
2026-07-31,철강·소재,중국,원료탄 가격,leading,10-day,1875.0,RMB/t,,,China NBS means-of-production prices,official-derived,False,high,2026-09-06T05:25:00+09:00,Value used in stored HRC/coking-coal ratio dataset
2026-08-10,철강·소재,중국,원료탄 가격,leading,10-day,1908.3,RMB/t,,,China NBS means-of-production prices,official-derived,False,high,2026-09-06T05:25:00+09:00,Value used in stored HRC/coking-coal ratio dataset
2026-08-20,철강·소재,중국,원료탄 가격,leading,10-day,2043.1,RMB/t,,,China NBS means-of-production prices,official-derived,False,high,2026-09-06T05:25:00+09:00,Value used in stored HRC/coking-coal ratio dataset
2026-08-31,철강·소재,중국,원료탄 가격,leading,10-day,2371.4,RMB/t,,,China NBS means-of-production prices,official-derived,False,high,2026-09-06T05:25:00+09:00,Value used in stored HRC/coking-coal ratio dataset
2026-07-31,철강·소재,중국,HRC/원료탄 스프레드 proxy,leading,10-day,1.753813,ratio,,,China NBS means-of-production prices,official-derived,True,medium,2026-09-06T05:25:00+09:00,Directional margin proxy; not accounting spread
2026-08-10,철강·소재,중국,HRC/원료탄 스프레드 proxy,leading,10-day,1.698423,ratio,,,China NBS means-of-production prices,official-derived,True,medium,2026-09-06T05:25:00+09:00,Directional margin proxy; not accounting spread
2026-08-20,철강·소재,중국,HRC/원료탄 스프레드 proxy,leading,10-day,1.598209,ratio,,,China NBS means-of-production prices,official-derived,True,medium,2026-09-06T05:25:00+09:00,Directional margin proxy; not accounting spread
2026-08-31,철강·소재,중국,HRC/원료탄 스프레드 proxy,leading,10-day,1.402716,ratio,,,China NBS means-of-production prices,official-derived,True,medium,2026-09-06T05:25:00+09:00,Directional margin proxy; not accounting spread
2025-12-31,미디어·플랫폼,Kakao,광고 매출,leading,quarterly,373.4,KRW bn,,,Kakao official FY2025 results,official,False,high,2026-09-06T05:25:00+09:00,Talk Biz advertising revenue Q4 2025
2026-03-31,미디어·플랫폼,Kakao,광고 매출,leading,quarterly,338.4,KRW bn,,,Kakao official Q1 2026 results,official,False,high,2026-09-06T05:25:00+09:00,Talk Biz advertising revenue Q1 2026
2026-06-30,미디어·플랫폼,Kakao,광고 매출,leading,quarterly,399.9,KRW bn,,,Kakao official Q2 2026 results,official,False,high,2026-09-06T05:25:00+09:00,Talk Biz advertising and subscription revenue Q2 2026; small definition expansion vs prior quarters
