obs_date,value
2026-09-03,2.948
2026-09-02,2.98
2026-09-01,3.052
2026-08-31,3.064
2026-08-28,2.99
2026-08-27,2.988
2026-08-26,2.738
2026-08-25,2.74
2026-08-24,2.74
2026-08-21,2.727
2026-08-20,2.726
2026-08-19,2.737
2026-08-18,2.738
2026-08-14,2.746
2026-08-13,2.768
2026-08-12,2.785
2026-08-11,2.774
2026-08-10,2.771
2026-08-07,2.733
2026-08-06,2.754
2026-08-05,2.771
2026-08-04,2.774
2026-08-03,2.786
2026-07-31,2.781
2026-07-30,2.706
2026-07-29,2.674
2026-07-28,2.677
2026-07-27,2.682
2026-07-24,2.672
2026-07-23,2.668
2026-07-22,2.676
2026-07-21,2.679
2026-07-20,2.698
2026-07-16,2.749
2026-07-15,2.546
2026-07-14,2.574
2026-07-13,2.56
2026-07-10,2.543
2026-07-09,2.501
2026-07-08,2.467
2026-07-07,2.468
2026-07-06,2.444
2026-07-03,2.449
2026-07-02,2.506
2026-07-01,2.54
2026-06-30,2.603
2026-06-29,2.551
2026-06-26,2.55
2026-06-25,2.54
2026-06-24,2.54
2026-06-23,2.55
2026-06-22,2.55
2026-06-19,2.54
2026-06-18,2.53
2026-06-17,2.53
2026-06-16,2.539
2026-06-15,2.542
2026-06-12,2.55
2026-06-11,2.555
2026-06-10,2.573
2026-06-09,2.565
2026-06-08,2.51
2026-06-05,2.509
2026-06-04,2.519
2026-06-02,2.529
2026-06-01,2.539
2026-05-29,2.56
2026-05-28,2.538
2026-05-27,2.55
2026-05-26,2.54
2026-05-22,2.53
2026-05-21,2.52
2026-05-20,2.508
2026-05-19,2.506
2026-05-18,2.509
2026-05-15,2.519
2026-05-14,2.518
2026-05-13,2.519
2026-05-12,2.55
2026-05-11,2.55
2026-05-08,2.539
2026-05-07,2.529
2026-05-06,2.544
2026-05-04,2.546
2026-04-30,2.54
2026-04-29,2.511
2026-04-28,2.521
2026-04-27,2.55
2026-04-24,2.541
2026-04-23,2.522
2026-04-22,2.519
2026-04-21,2.52
2026-04-20,2.521
2026-04-17,2.511
2026-04-16,2.476
2026-04-15,2.49
2026-04-14,2.51
2026-04-13,2.54
2026-04-10,2.541
2026-04-09,2.503
2026-04-08,2.474
2026-04-07,2.473
2026-04-06,2.488
2026-04-03,2.49
2026-04-02,2.49
2026-04-01,2.541
2026-03-31,2.584
2026-03-30,2.512
2026-03-27,2.521
2026-03-26,2.531
2026-03-25,2.531
2026-03-24,2.532
2026-03-23,2.521
2026-03-20,2.521
2026-03-19,2.52
2026-03-18,2.499
2026-03-17,2.519
2026-03-16,2.529
2026-03-13,2.539
2026-03-12,2.56
2026-03-11,2.565
2026-03-10,2.566
2026-03-09,2.56
2026-03-06,2.49
2026-03-05,2.499
2026-03-04,2.511
2026-03-03,2.539
2026-02-27,2.56
2026-02-26,2.562
2026-02-25,2.552
2026-02-24,2.541
2026-02-23,2.531
2026-02-20,2.531
2026-02-19,2.541
2026-02-13,2.551
2026-02-12,2.551
2026-02-11,2.58
2026-02-10,2.58
2026-02-09,2.55
2026-02-06,2.55
2026-02-05,2.55
2026-02-04,2.54
2026-02-03,2.54
2026-02-02,2.56
2026-01-30,2.552
2026-01-29,2.513
2026-01-28,2.496
2026-01-27,2.547
2026-01-26,2.578
2026-01-23,2.57
2026-01-22,2.532
2026-01-21,2.559
2026-01-20,2.549
2026-01-19,2.548
2026-01-16,2.557
2026-01-15,2.567
2026-01-14,2.589
2026-01-13,2.58
2026-01-12,2.581
2026-01-09,2.571
2026-01-08,2.544
2026-01-07,2.532
2026-01-06,2.532
2026-01-05,2.522
2026-01-02,2.543
2025-12-31,2.687
2025-12-30,2.562
2025-12-29,2.563
2025-12-26,2.563
2025-12-24,2.553
2025-12-23,2.563
2025-12-22,2.562
2025-12-19,2.542
2025-12-18,2.532
2025-12-17,2.532
2025-12-16,2.532
2025-12-15,2.551
2025-12-12,2.552
2025-12-11,2.553
2025-12-10,2.569
2025-12-09,2.57
2025-12-08,2.534
2025-12-05,2.514
2025-12-04,2.516
2025-12-03,2.505
2025-12-02,2.514
2025-12-01,2.532
2025-11-28,2.532
2025-11-27,2.533
2025-11-26,2.542
2025-11-25,2.523
2025-11-24,2.524
2025-11-21,2.523
2025-11-20,2.513
2025-11-19,2.502
2025-11-18,2.511
2025-11-17,2.513
2025-11-14,2.522
2025-11-13,2.532
2025-11-12,2.512
2025-11-11,2.532
2025-11-10,2.532
2025-11-07,2.524
2025-11-06,2.495
2025-11-05,2.499
2025-11-04,2.499
2025-11-03,2.491
2025-10-31,2.531
2025-10-30,2.502
2025-10-29,2.494
2025-10-28,2.542
2025-10-27,2.542
2025-10-24,2.541
2025-10-23,2.522
2025-10-22,2.521
2025-10-21,2.513
2025-10-20,2.532
2025-10-17,2.513
2025-10-16,2.505
2025-10-15,2.496
2025-10-14,2.513
2025-10-13,2.542
2025-10-10,2.543
2025-10-02,2.534
2025-10-01,2.535
2025-09-30,2.572
2025-09-29,2.544
2025-09-26,2.534
2025-09-25,2.543
2025-09-24,2.533
2025-09-23,2.552
2025-09-22,2.552
2025-09-19,2.534
2025-09-18,2.514
2025-09-17,2.512
2025-09-16,2.522
2025-09-15,2.542
2025-09-12,2.532
2025-09-11,2.55
2025-09-10,2.584
2025-09-09,2.584
2025-09-08,2.524
