date,ticker,open,high,low,close,adj_close,volume
2024-12-24,0001P0.KS,9750.0,9765.0,9615.0,9710.0,9692.6875,20622
2024-12-26,0001P0.KS,9705.0,9755.0,9660.0,9715.0,9697.6796875,13470
2024-12-27,0001P0.KS,9780.0,9780.0,9510.0,9625.0,9607.83984375,39537
2024-12-30,0001P0.KS,9600.0,10005.0,9600.0,9915.0,9897.322265625,31241
2025-01-02,0001P0.KS,9915.0,9915.0,9635.0,9690.0,9672.7236328125,20189
2025-01-03,0001P0.KS,9715.0,9860.0,9715.0,9860.0,9842.4208984375,13750
2025-01-06,0001P0.KS,9860.0,9950.0,9735.0,9945.0,9927.2685546875,15226
2025-01-07,0001P0.KS,9960.0,10160.0,9945.0,10070.0,10052.046875,27941
2025-01-08,0001P0.KS,10070.0,10255.0,10070.0,10145.0,10126.912109375,18862
2025-01-09,0001P0.KS,10175.0,10270.0,10035.0,10265.0,10246.6982421875,214448
2025-01-10,0001P0.KS,10250.0,10310.0,10105.0,10170.0,10151.8681640625,20319
2025-01-13,0001P0.KS,10245.0,10265.0,10065.0,10095.0,10077.001953125,8599
2025-01-14,0001P0.KS,10200.0,10230.0,10035.0,10075.0,10057.037109375,13146
2025-01-15,0001P0.KS,10160.0,10160.0,9910.0,9930.0,9912.2958984375,14579
2025-01-16,0001P0.KS,10000.0,10105.0,10000.0,10085.0,10067.01953125,11495
2025-01-17,0001P0.KS,10020.0,10025.0,9865.0,9895.0,9877.3583984375,17148
2025-01-20,0001P0.KS,9905.0,9910.0,9805.0,9870.0,9852.4033203125,10776
2025-01-21,0001P0.KS,9575.0,9980.0,9575.0,9860.0,9842.4208984375,11011
2025-01-22,0001P0.KS,9995.0,10010.0,9875.0,9930.0,9912.2958984375,350
2025-01-23,0001P0.KS,9940.0,10040.0,9925.0,9925.0,9907.3046875,137
2025-01-24,0001P0.KS,9955.0,10125.0,9955.0,10125.0,10106.9482421875,18094
2025-01-31,0001P0.KS,10200.0,10250.0,10065.0,10145.0,10126.912109375,475
2025-02-03,0001P0.KS,10005.0,10005.0,9765.0,9950.0,9932.2607421875,11972
2025-02-04,0001P0.KS,10005.0,10100.0,9950.0,9970.0,9952.224609375,5204
2025-02-05,0001P0.KS,9970.0,10080.0,9960.0,10060.0,10042.0634765625,441
2025-02-06,0001P0.KS,10125.0,10230.0,10120.0,10230.0,10211.7607421875,1223
2025-02-07,0001P0.KS,10225.0,10375.0,10225.0,10375.0,10356.501953125,6579
2025-02-10,0001P0.KS,10375.0,10395.0,10210.0,10315.0,10296.609375,34992
2025-02-11,0001P0.KS,10315.0,10420.0,10315.0,10330.0,10311.5830078125,9595
2025-02-12,0001P0.KS,10180.0,10225.0,10140.0,10150.0,10131.9033203125,2483
2025-02-13,0001P0.KS,10150.0,10170.0,10045.0,10170.0,10151.8681640625,1502
2025-02-14,0001P0.KS,10240.0,10260.0,10175.0,10240.0,10221.7431640625,1090
2025-02-17,0001P0.KS,10260.0,10295.0,10170.0,10295.0,10276.64453125,766
