date,ticker,open,high,low,close,adj_close,volume
2024-01-02,266410.KS,6660.0,6685.0,6605.0,6665.0,6315.86376953125,22000
2024-01-03,266410.KS,6605.0,6620.0,6535.0,6555.0,6211.6259765625,20171
2024-01-04,266410.KS,6555.0,6555.0,6485.0,6500.0,6159.5068359375,26773
2024-01-05,266410.KS,6510.0,6535.0,6470.0,6490.0,6150.0302734375,5561
2024-01-08,266410.KS,6520.0,6520.0,6440.0,6465.0,6126.34033203125,4415
2024-01-09,266410.KS,6535.0,6535.0,6475.0,6495.0,6154.76904296875,5637
2024-01-10,266410.KS,6535.0,6535.0,6470.0,6475.0,6135.81640625,6128
2024-01-11,266410.KS,6480.0,6480.0,6425.0,6425.0,6088.435546875,4283
2024-01-12,266410.KS,6425.0,6425.0,6335.0,6375.0,6041.0546875,3016
2024-01-15,266410.KS,6405.0,6405.0,6330.0,6345.0,6012.62646484375,2637
2024-01-16,266410.KS,6315.0,6315.0,6195.0,6210.0,5884.6982421875,17125
2024-01-17,266410.KS,6215.0,6215.0,6065.0,6075.0,5756.77001953125,16613
2024-01-19,266410.KS,6185.0,6195.0,6135.0,6155.0,5832.57861328125,7886
2024-01-22,266410.KS,6200.0,6200.0,6140.0,6175.0,5851.53173828125,6317
2024-01-23,266410.KS,6220.0,6250.0,6145.0,6220.0,5894.1748046875,13043
2024-01-24,266410.KS,6265.0,6265.0,6210.0,6220.0,5894.1748046875,2147582
2024-01-25,266410.KS,6250.0,6260.0,6190.0,6260.0,5932.07861328125,4906
2024-01-26,266410.KS,6240.0,6310.0,6200.0,6255.0,5927.3408203125,21817
2024-01-29,266410.KS,6295.0,6295.0,6225.0,6270.0,5941.55517578125,9935
2024-01-30,266410.KS,6310.0,6310.0,6260.0,6265.0,5936.81689453125,11137
2024-01-31,266410.KS,6265.0,6265.0,6100.0,6130.0,5808.888671875,15947
2024-02-01,266410.KS,6115.0,6175.0,6085.0,6165.0,5842.05517578125,28088
