date,ticker,open,high,low,close,adj_close,volume
2024-01-02,091170.KS,6720.0,6730.0,6565.0,6695.0,5854.81884765625,391624
2024-01-03,091170.KS,6655.0,6665.0,6555.0,6555.0,5732.38818359375,167507
2024-01-04,091170.KS,6580.0,6580.0,6445.0,6455.0,5644.93798828125,179061
2024-01-05,091170.KS,6455.0,6455.0,6390.0,6410.0,5605.58544921875,239997
2024-01-08,091170.KS,6410.0,6470.0,6405.0,6420.0,5614.32958984375,227239
2024-01-09,091170.KS,6500.0,6505.0,6455.0,6465.0,5653.68359375,176616
2024-01-10,091170.KS,6515.0,6515.0,6435.0,6450.0,5640.5654296875,98816
2024-01-11,091170.KS,6470.0,6640.0,6465.0,6565.0,5741.13330078125,343021
2024-01-12,091170.KS,6525.0,6565.0,6495.0,6505.0,5688.6640625,163518
2024-01-15,091170.KS,6505.0,6670.0,6500.0,6645.0,5811.0927734375,246409
2024-01-16,091170.KS,6630.0,6630.0,6535.0,6585.0,5758.623046875,194685
2024-01-17,091170.KS,6600.0,6600.0,6470.0,6470.0,5658.0556640625,174869
2024-01-19,091170.KS,6450.0,6490.0,6415.0,6470.0,5658.0556640625,62481
2024-01-22,091170.KS,6460.0,6495.0,6450.0,6450.0,5640.5654296875,88399
2024-01-23,091170.KS,6480.0,6665.0,6475.0,6660.0,5824.2119140625,283037
2024-01-24,091170.KS,6650.0,6825.0,6645.0,6765.0,5916.03466796875,433707
2024-01-25,091170.KS,6735.0,6795.0,6685.0,6790.0,5937.8984375,145014
2024-01-26,091170.KS,6710.0,6860.0,6710.0,6830.0,5972.87744140625,283737
2024-01-29,091170.KS,6830.0,6995.0,6790.0,6935.0,6064.7021484375,629950
2024-01-30,091170.KS,6965.0,7005.0,6910.0,6925.0,6055.9560546875,417338
2024-01-31,091170.KS,6900.0,7085.0,6880.0,7075.0,6187.13134765625,720425
2024-02-01,091170.KS,7085.0,7425.0,7085.0,7415.0,6484.46435546875,1395989
2024-02-02,091170.KS,7510.0,7835.0,7355.0,7835.0,6851.75732421875,2459386
2024-02-05,091170.KS,7815.0,7815.0,7360.0,7580.0,6628.7578125,1459692
2024-02-06,091170.KS,7530.0,7670.0,7460.0,7525.0,6580.6591796875,947945
2024-02-07,091170.KS,7490.0,7775.0,7415.0,7645.0,6685.6005859375,1125758
2024-02-08,091170.KS,7635.0,7850.0,7630.0,7820.0,6838.6396484375,1021210
2024-02-13,091170.KS,7860.0,8025.0,7790.0,7835.0,6851.75732421875,1255651
2024-02-14,091170.KS,7650.0,7800.0,7650.0,7680.0,6716.208984375,772037
2024-02-15,091170.KS,7640.0,7730.0,7610.0,7610.0,6654.9931640625,558376
2024-02-16,091170.KS,7700.0,7865.0,7650.0,7860.0,6873.62109375,742652
2024-02-19,091170.KS,7910.0,8100.0,7910.0,8050.0,7039.775390625,1444819
2024-02-20,091170.KS,8100.0,8100.0,7735.0,7800.0,6821.14990234375,1268836
2024-02-21,091170.KS,7800.0,7895.0,7680.0,7770.0,6794.9140625,785914
2024-02-22,091170.KS,7765.0,7845.0,7650.0,7815.0,6834.26611328125,893773
2024-02-23,091170.KS,7835.0,8000.0,7800.0,7925.0,6930.46337890625,1081933
2024-02-26,091170.KS,7820.0,7820.0,7425.0,7665.0,6703.09033203125,1694831
2024-02-27,091170.KS,7645.0,7795.0,7610.0,7705.0,6738.06982421875,1081842
2024-02-28,091170.KS,7700.0,7820.0,7660.0,7820.0,6838.6396484375,520962
2024-02-29,091170.KS,7775.0,7940.0,7775.0,7895.0,6904.22802734375,2343753
2024-03-04,091170.KS,7970.0,8225.0,7890.0,8140.0,7118.48095703125,2314904
2024-03-05,091170.KS,8170.0,8395.0,8100.0,8105.0,7087.87255859375,1654494
2024-03-06,091170.KS,8085.0,8220.0,8080.0,8155.0,7131.599609375,1073433
2024-03-07,091170.KS,8155.0,8280.0,8120.0,8245.0,7210.3037109375,983495
2024-03-08,091170.KS,8260.0,8300.0,8200.0,8300.0,7258.40185546875,720275
2024-03-11,091170.KS,8195.0,8250.0,8110.0,8215.0,7184.06884765625,674767
