date,ticker,open,high,low,close,adj_close,volume
2024-01-02,438900.KS,9620.0,9725.0,9620.0,9700.0,9232.4189453125,3986
2024-01-03,438900.KS,9620.0,9640.0,9570.0,9590.0,9127.7216796875,2765
2024-01-04,438900.KS,9550.0,9600.0,9540.0,9565.0,9103.927734375,1297
2024-01-05,438900.KS,9550.0,9575.0,9490.0,9510.0,9051.578125,1805
2024-01-08,438900.KS,9550.0,9575.0,9455.0,9490.0,9032.54296875,1919
2024-01-09,438900.KS,9625.0,9625.0,9365.0,9475.0,9018.265625,6285
2024-01-10,438900.KS,9475.0,9495.0,9420.0,9475.0,9018.265625,1416
2024-01-11,438900.KS,9425.0,9440.0,9350.0,9350.0,8899.2900390625,2504
2024-01-12,438900.KS,9340.0,9340.0,9270.0,9340.0,8889.7734375,882
2024-01-15,438900.KS,9320.0,9395.0,9320.0,9330.0,8880.255859375,1530
2024-01-16,438900.KS,9195.0,9195.0,8990.0,9005.0,8570.921875,14844
2024-01-17,438900.KS,9005.0,9005.0,8795.0,8830.0,8404.357421875,7607
2024-01-19,438900.KS,8850.0,8865.0,8755.0,8800.0,8375.802734375,2327
2024-01-22,438900.KS,8745.0,8795.0,8745.0,8790.0,8366.28515625,4435
2024-01-23,438900.KS,8825.0,8850.0,8785.0,8835.0,8409.115234375,7063
2024-01-24,438900.KS,8815.0,8815.0,8735.0,8775.0,8352.0087890625,1721
2024-01-25,438900.KS,8765.0,8780.0,8735.0,8780.0,8356.767578125,1029
2024-01-26,438900.KS,8805.0,8860.0,8805.0,8830.0,8404.357421875,984
2024-01-29,438900.KS,8830.0,8835.0,8770.0,8835.0,8409.115234375,1427
2024-01-30,438900.KS,8830.0,8880.0,8770.0,8830.0,8404.357421875,2810
2024-01-31,438900.KS,8810.0,8810.0,8735.0,8780.0,8356.767578125,4810
2024-02-01,438900.KS,8760.0,8865.0,8750.0,8865.0,8437.6708984375,2150
2024-02-02,438900.KS,8910.0,9060.0,8910.0,9055.0,8618.51171875,18797
2024-02-05,438900.KS,9040.0,9040.0,8955.0,9040.0,8604.2353515625,7023
2024-02-06,438900.KS,8920.0,8935.0,8880.0,8895.0,8466.224609375,11366
2024-02-07,438900.KS,8815.0,8935.0,8815.0,8935.0,8504.2958984375,1545
2024-02-08,438900.KS,8925.0,8940.0,8870.0,8870.0,8442.4287109375,2029
2024-02-13,438900.KS,8935.0,8975.0,8880.0,8895.0,8466.224609375,4014
2024-02-14,438900.KS,8915.0,8915.0,8785.0,8835.0,8409.115234375,4767
2024-02-15,438900.KS,8980.0,8980.0,8800.0,8820.0,8394.8388671875,2901
2024-02-16,438900.KS,8925.0,8955.0,8815.0,8935.0,8504.2958984375,2761
2024-02-19,438900.KS,9000.0,9055.0,8960.0,8965.0,8532.849609375,15529
2024-02-20,438900.KS,9075.0,9075.0,8940.0,8950.0,8518.57421875,4521
2024-02-21,438900.KS,9050.0,9050.0,8955.0,8975.0,8542.3671875,3439
2024-02-22,438900.KS,9080.0,9080.0,8930.0,8960.0,8528.08984375,7497
2024-02-23,438900.KS,9020.0,9020.0,8950.0,9000.0,8566.1630859375,3911
2024-02-26,438900.KS,9080.0,9080.0,8890.0,8945.0,8513.814453125,1713
2024-02-27,438900.KS,9010.0,9010.0,8780.0,8790.0,8366.28515625,6114
2024-02-28,438900.KS,8900.0,8900.0,8770.0,8780.0,8356.767578125,8169
2024-02-29,438900.KS,8830.0,8830.0,8665.0,8705.0,8285.3837890625,3149
2024-03-04,438900.KS,8800.0,8850.0,8775.0,8780.0,8356.767578125,6503
2024-03-05,438900.KS,8820.0,8820.0,8720.0,8755.0,8332.97265625,1610
2024-03-06,438900.KS,8830.0,8830.0,8730.0,8750.0,8328.2138671875,2427
2024-03-07,438900.KS,8850.0,8850.0,8630.0,8630.0,8213.998046875,3745
2024-03-08,438900.KS,8755.0,8755.0,8690.0,8720.0,8299.6591796875,2517
2024-03-11,438900.KS,8785.0,8785.0,8675.0,8680.0,8261.587890625,3038
2024-03-12,438900.KS,8795.0,8795.0,8600.0,8645.0,8228.2744140625,6252
2024-03-13,438900.KS,8750.0,8750.0,8600.0,8620.0,8204.48046875,6683
2024-03-14,438900.KS,8695.0,8695.0,8610.0,8645.0,8228.2744140625,1830
2024-03-15,438900.KS,8645.0,8715.0,8625.0,8705.0,8285.3837890625,8255
