date,ticker,open,high,low,close,adj_close,volume
2024-01-02,466920.KS,9510.0,9560.0,9445.0,9550.0,9521.0283203125,261150
2024-01-03,466920.KS,9450.0,9450.0,9215.0,9225.0,9197.0146484375,193014
2024-01-04,466920.KS,9225.0,9290.0,9170.0,9290.0,9261.81640625,152944
2024-01-05,466920.KS,9325.0,9325.0,9100.0,9160.0,9132.2109375,158755
2024-01-08,466920.KS,9160.0,9270.0,9135.0,9180.0,9152.150390625,172675
2024-01-09,466920.KS,9290.0,9290.0,9020.0,9025.0,8997.62109375,184480
2024-01-10,466920.KS,9125.0,9125.0,8920.0,9010.0,8982.666015625,144126
2024-01-11,466920.KS,9120.0,9120.0,8820.0,8840.0,8813.181640625,283203
2024-01-12,466920.KS,8800.0,8915.0,8800.0,8830.0,8803.2119140625,177179
2024-01-15,466920.KS,8835.0,9025.0,8805.0,9025.0,8997.62109375,193647
2024-01-16,466920.KS,9060.0,9060.0,8725.0,8750.0,8723.455078125,297620
2024-01-17,466920.KS,8690.0,8750.0,8470.0,8490.0,8464.2431640625,205040
2024-01-19,466920.KS,8670.0,8900.0,8630.0,8900.0,8872.9990234375,309877
2024-01-22,466920.KS,9100.0,9100.0,8880.0,8950.0,8922.84765625,160715
2024-01-23,466920.KS,9035.0,9040.0,8835.0,8885.0,8858.0458984375,159617
2024-01-24,466920.KS,8950.0,8950.0,8650.0,8765.0,8738.4091796875,149875
2024-01-25,466920.KS,8840.0,8900.0,8650.0,8870.0,8843.0908203125,147904
2024-01-26,466920.KS,8870.0,8995.0,8810.0,8880.0,8853.060546875,183131
2024-01-29,466920.KS,8990.0,8990.0,8745.0,8770.0,8743.39453125,152260
2024-01-30,466920.KS,8880.0,8880.0,8510.0,8545.0,8519.0771484375,205720
2024-01-31,466920.KS,8575.0,8640.0,8515.0,8615.0,8588.865234375,177798
2024-02-01,466920.KS,8505.0,8595.0,8485.0,8585.0,8558.9560546875,155965
2024-02-02,466920.KS,8585.0,8760.0,8555.0,8730.0,8703.5146484375,215709
2024-02-05,466920.KS,8820.0,8835.0,8615.0,8750.0,8723.455078125,200830
2024-02-06,466920.KS,8750.0,8815.0,8700.0,8730.0,8703.5146484375,168209
2024-02-07,466920.KS,8805.0,8865.0,8770.0,8810.0,8783.2734375,164214
2024-02-08,466920.KS,8900.0,8900.0,8785.0,8830.0,8803.2119140625,169027
