date,ticker,open,high,low,close,adj_close,volume
2024-01-02,117680.KS,9750.0,9750.0,9550.0,9635.0,8948.0654296875,104840
2024-01-03,117680.KS,9565.0,9565.0,9375.0,9375.0,8706.6025390625,54119
2024-01-04,117680.KS,9330.0,9370.0,9275.0,9320.0,8655.5234375,68615
2024-01-05,117680.KS,9370.0,9455.0,9310.0,9440.0,8766.96875,28348
2024-01-08,117680.KS,9445.0,9445.0,9300.0,9325.0,8660.1669921875,11127
2024-01-09,117680.KS,9385.0,9395.0,9245.0,9270.0,8609.087890625,32182
2024-01-10,117680.KS,9255.0,9270.0,9155.0,9170.0,8516.2177734375,41591
2024-01-11,117680.KS,9170.0,9250.0,9105.0,9150.0,8497.6435546875,65734
2024-01-12,117680.KS,9150.0,9150.0,9005.0,9025.0,8381.5556640625,31711
2024-01-15,117680.KS,9005.0,9015.0,8940.0,8950.0,8311.90234375,19622
2024-01-16,117680.KS,8945.0,9005.0,8870.0,8915.0,8279.3994140625,12786
2024-01-17,117680.KS,8940.0,8940.0,8695.0,8695.0,8075.08349609375,16645
2024-01-19,117680.KS,8675.0,8755.0,8605.0,8665.0,8047.22216796875,39920
2024-01-22,117680.KS,8705.0,8705.0,8510.0,8550.0,7940.421875,31891
2024-01-23,117680.KS,8550.0,8625.0,8525.0,8610.0,7996.14404296875,66114
2024-01-24,117680.KS,8610.0,8615.0,8495.0,8570.0,7958.99560546875,38774
2024-01-25,117680.KS,8555.0,8635.0,8430.0,8605.0,7991.50048828125,20304
2024-01-26,117680.KS,8535.0,8750.0,8510.0,8710.0,8089.0146484375,33553
2024-01-29,117680.KS,8760.0,9000.0,8695.0,8940.0,8302.6162109375,80402
2024-01-30,117680.KS,9030.0,9100.0,8880.0,8905.0,8270.1123046875,56697
2024-01-31,117680.KS,8830.0,8935.0,8810.0,8815.0,8186.5283203125,51678
2024-02-01,117680.KS,8730.0,9035.0,8730.0,8990.0,8349.0517578125,105887
2024-02-02,117680.KS,9020.0,9185.0,9020.0,9175.0,8520.861328125,79420
2024-02-05,117680.KS,9135.0,9135.0,8930.0,9110.0,8460.4951171875,24045
2024-02-06,117680.KS,9050.0,9075.0,8930.0,8955.0,8316.546875,19975
2024-02-07,117680.KS,9050.0,9230.0,9050.0,9230.0,8571.9404296875,51974
2024-02-08,117680.KS,9245.0,9305.0,9185.0,9205.0,8548.72265625,38190
2024-02-13,117680.KS,9275.0,9275.0,9155.0,9210.0,8553.3662109375,25146
2024-02-14,117680.KS,9095.0,9150.0,9025.0,9130.0,8479.0693359375,28402
2024-02-15,117680.KS,9195.0,9210.0,9120.0,9145.0,8493.0009765625,11756
2024-02-16,117680.KS,9245.0,9450.0,9245.0,9400.0,8729.8203125,90332
2024-02-19,117680.KS,9400.0,9565.0,9400.0,9530.0,8850.5517578125,70903
2024-02-20,117680.KS,9520.0,9595.0,9390.0,9505.0,8827.333984375,31277
2024-02-21,117680.KS,9505.0,9640.0,9470.0,9565.0,8883.056640625,27441
2024-02-22,117680.KS,9585.0,9620.0,9480.0,9495.0,8818.0478515625,23402
2024-02-23,117680.KS,9500.0,9530.0,9400.0,9460.0,8785.5439453125,50858
2024-02-26,117680.KS,9495.0,9500.0,9375.0,9405.0,8734.4638671875,35907
2024-02-27,117680.KS,9450.0,9450.0,9295.0,9305.0,8641.5927734375,20831
2024-02-28,117680.KS,9265.0,9385.0,9265.0,9385.0,8715.8896484375,32182
2024-02-29,117680.KS,9350.0,9360.0,9280.0,9330.0,8664.8115234375,19204
2024-03-04,117680.KS,9330.0,9400.0,9305.0,9325.0,8660.1669921875,55599
2024-03-05,117680.KS,9270.0,9355.0,9200.0,9210.0,8553.3662109375,31174
2024-03-06,117680.KS,9175.0,9185.0,9065.0,9100.0,8451.208984375,27277
2024-03-07,117680.KS,9155.0,9215.0,9100.0,9130.0,8479.0693359375,27388
2024-03-08,117680.KS,9230.0,9305.0,9180.0,9240.0,8581.2275390625,28600
2024-03-11,117680.KS,9210.0,9210.0,9090.0,9120.0,8469.7841796875,11567
2024-03-12,117680.KS,9165.0,9230.0,9110.0,9215.0,8558.009765625,23816
2024-03-13,117680.KS,9255.0,9255.0,9105.0,9115.0,8465.138671875,20607
2024-03-14,117680.KS,9155.0,9220.0,9130.0,9130.0,8479.0693359375,18923
2024-03-15,117680.KS,9130.0,9130.0,9040.0,9055.0,8409.4169921875,16156
2024-03-18,117680.KS,9085.0,9160.0,9055.0,9135.0,8483.7138671875,8629
2024-03-19,117680.KS,9170.0,9170.0,9035.0,9075.0,8427.9912109375,19792
2024-03-20,117680.KS,9120.0,9120.0,8995.0,9010.0,8367.626953125,23623
2024-03-21,117680.KS,9050.0,9130.0,9050.0,9100.0,8451.208984375,36543
2024-03-22,117680.KS,9085.0,9125.0,9055.0,9080.0,8432.634765625,24700
2024-03-25,117680.KS,9140.0,9205.0,9090.0,9115.0,8465.138671875,26746
2024-03-26,117680.KS,9195.0,9200.0,9085.0,9105.0,8455.8525390625,32648
2024-03-27,117680.KS,9100.0,9155.0,9075.0,9120.0,8469.7841796875,17414
2024-03-28,117680.KS,9165.0,9165.0,9020.0,9025.0,8381.5556640625,21194
2024-03-29,117680.KS,9025.0,9025.0,8935.0,8970.0,8330.4775390625,27905
2024-04-01,117680.KS,9055.0,9055.0,8940.0,8970.0,8330.4775390625,17608
2024-04-02,117680.KS,9005.0,9005.0,8875.0,8875.0,8242.25,17013
2024-04-03,117680.KS,8820.0,8870.0,8720.0,8735.0,8112.2314453125,26160
2024-04-04,117680.KS,8805.0,8895.0,8750.0,8890.0,8256.1806640625,35194
2024-04-05,117680.KS,8840.0,8840.0,8750.0,8750.0,8126.162109375,19464
2024-04-08,117680.KS,8815.0,8815.0,8590.0,8795.0,8167.95361328125,37090
2024-04-09,117680.KS,8795.0,8965.0,8795.0,8910.0,8274.7548828125,29900
2024-04-11,117680.KS,8875.0,8985.0,8815.0,8910.0,8274.7548828125,29812
2024-04-12,117680.KS,8915.0,8950.0,8815.0,8855.0,8223.6767578125,10289
